iso_code	continent	location	date	total_cases	total_deaths	total_tests	positive_rate	population	gdp_per_capita	extreme_poverty	diabetes_prevalence	hospital_beds_per_thousand	life_expectancy	human_development_index	casos_por_persona	casos_por_millon
ABW	North America	Aruba	2020-09-11	2819	16	NA	NA	106766	35973.781	NA	11.62	NA	76.29	NA	0.0264035367064421	26403.5367064421
AFG	Asia	Afghanistan	2020-09-11	38572	1420	NA	NA	38928341	1803.987	NA	9.59	0.5	64.83	0.498	0.000990846232054944	990.846232054944
AGO	Africa	Angola	2020-09-11	3092	126	NA	NA	32866268	5819.495	NA	3.94	NA	61.15	0.581	9.40782202591423e-05	94.0782202591423
AIA	North America	Anguilla	2020-09-11	3	0	NA	NA	15002	NA	NA	NA	NA	81.88	NA	0.000199973336888415	199.973336888415
ALB	Europe	Albania	2020-09-11	10860	324	NA	NA	2877800	11803.431	1.1	10.08	2.89	78.57	0.785	0.00377371603308083	3773.71603308083
AND	Europe	Andorra	2020-09-11	1301	53	NA	NA	77265	NA	NA	7.97	NA	83.73	0.858	0.0168381544036757	16838.1544036757
ARE	Asia	United Arab Emirates	2020-09-11	76911	398	NA	NA	9890400	67293.483	NA	17.26	1.2	77.97	0.863	0.00777632856102888	7776.32856102888
ARG	South America	Argentina	2020-09-11	512280	10713	NA	NA	45195777	18933.907	0.6	5.5	5	76.67	0.825	0.0113346873093918	11334.6873093918
ARM	Asia	Armenia	2020-09-11	45326	906	NA	NA	2963234	8787.58	1.8	7.11	4.2	75.09	0.755	0.0152961257868936	15296.1257868936
ATG	North America	Antigua and Barbuda	2020-09-11	95	3	NA	NA	97928	21490.943	NA	13.17	3.8	77.02	0.78	0.000970100481986766	970.100481986766
AUS	Oceania	Australia	2020-09-11	26513	788	NA	NA	25499881	44648.71	0.5	5.07	3.84	83.44	0.939	0.00103973034227101	1039.73034227101
AUT	Europe	Austria	2020-09-11	31666	748	1316819	0.039	9006400	45436.686	0.7	6.35	7.37	81.54	0.908	0.00351594421744537	3515.94421744537
AZE	Asia	Azerbaijan	2020-09-11	37874	556	NA	NA	10139175	15847.419	NA	7.11	4.7	73	0.757	0.00373541239795151	3735.41239795151
BDI	Africa	Burundi	2020-09-11	469	1	NA	NA	11890781	702.225	71.7	6.05	0.8	61.58	0.417	3.94423209039003e-05	39.4423209039003
BEL	Europe	Belgium	2020-09-11	90474	9917	NA	NA	11589616	42658.576	0.2	4.29	5.64	81.63	0.916	0.00780647089601588	7806.47089601588
BEN	Africa	Benin	2020-09-11	2242	40	NA	NA	12123198	2064.236	49.6	0.99	0.5	61.77	0.515	0.000184934701223225	184.934701223225
BES	North America	Bonaire Sint Eustatius and Saba	2020-09-11	25	0	NA	NA	26221	NA	NA	NA	NA	77.79	NA	0.00095343427024141	953.43427024141
BFA	Africa	Burkina Faso	2020-09-11	1486	56	NA	NA	20903278	1703.102	43.7	2.42	0.4	61.58	0.423	7.10893286689293e-05	71.0893286689293
BGD	Asia	Bangladesh	2020-09-11	332970	4634	NA	NA	164689383	3523.984	14.8	8.38	0.8	72.59	0.608	0.00202180610513308	2021.80610513308
BGR	Europe	Bulgaria	2020-09-11	17598	706	456538	0.035	6948445	18563.307	1.5	5.81	7.454	75.05	0.813	0.00253265298926594	2532.65298926594
BHR	Asia	Bahrain	2020-09-11	57450	204	1218988	0.059	1701583	43290.705	NA	16.52	2	77.29	0.846	0.0337626786351298	33762.6786351298
BHS	North America	Bahamas	2020-09-11	2721	63	NA	NA	393248	27717.847	NA	13.17	2.9	73.92	0.807	0.00691929774595166	6919.29774595166
BIH	Europe	Bosnia and Herzegovina	2020-09-11	22544	680	NA	NA	3280815	11713.895	0.2	10.08	3.5	77.4	0.768	0.00687146334066383	6871.46334066383
BLR	Europe	Belarus	2020-09-11	73591	732	NA	NA	9449321	17167.967	NA	5.18	11	74.79	0.808	0.0077879669872576	7787.9669872576
BLZ	North America	Belize	2020-09-11	1399	19	NA	NA	397621	7824.362	NA	17.11	1.3	74.62	0.708	0.00351842583766954	3518.42583766954
